ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,64600001003,FH1,FUSE-2P-25.8X9.0,1,64600001003,Littelfuse,LCSC,C206887
2,1N4001,"D10,D11,D12,D13,D14,D15,D16,D17,D1,D2,D3,D4,D5,D6,D7,D8",DO-41,16,1N4001,DIOFIT,LCSC,C169150
3,WJ25C-B-7.62-8P-13-00A,"CN2,CN1",WJ25C-B-7.62-8P,2,WJ25C-B-7.62-8P-13-00A,ReliaPro,LCSC,C49492
4,MAX485DIL,U5,DIP8,1,,,Newark,78Y4941
5,MC7805BTG,U7,TO-220-3_L10.0-W4.5-P2.54-L,1,MC7805BTG,ON,LCSC,C45385
6,ILQ2,"U4,U3,U1,U2",DIP-16_L19.8-W6.5-P2.54-LS7.6-BL,4,ILQ2,VISHAY,LCSC,C145338
7,CJ7812,U6,TO-220-3_L10.0-W4.5-P2.54-L,1,CJ7812,CJ,LCSC,C77894
8,470uF,C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,470uF 100V 16*25,ValuePro,LCSC,C72551
9,10K,"R25,R26",AXIAL-0.4,2,CFR0W4J0103A50,UniOhm,LCSC,C61299
10,WJ25C-B-2P,"P3,P4,P1,P2",CONN-TH_2P-P7.62_WJ25C-B-7.62-2P,4,WJ25C-B-2P,ReliaPro,LCSC,C8422
11,220,"R9,R10,R11,R12,R13,R14,R15,R24,R27,R28,R29,R30,R31,R32,R33,R34",RES-TH_BD2.2-L6.5-P10.50-D0.6,16,CFR0W4J0221A50,UniOhm,LCSC,C61289
12,D50SB100,D9,DIO-BG-TH_DXXSBXX,1,D50SB100,Leshan Radio,LCSC,C411148
13,Arduino_Nano_Header,J1,DIP-30_L43.18-W15.24-ARDUINONANO,1,,,eBay,
