ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,64600001003,FH1,FUSE-2P-25.8X9.0,1,64600001003,Littelfuse,LCSC,C206887
2,1N4001,"D10,D11,D12,D13,D14,D15,D16,D17",DO-41,8,1N4001,DIOFIT,LCSC,C169150
3,WJ25C-B-7.62-8P-13-00A,CN2,WJ25C-B-7.62-8P,1,WJ25C-B-7.62-8P-13-00A,ReliaPro,LCSC,C49492
4,MAX485DIL,U11,DIP8,1,,,Newark,78Y4941
5,MC7805BTG,U9,TO-220-3_L10.0-W4.5-P2.54-L,1,MC7805BTG,ON,LCSC,C45385
6,ILQ2,"U13,U12",DIP-16_L19.8-W6.5-P2.54-LS7.6-BL,2,ILQ2,VISHAY,LCSC,C145338
7,CJ7812,U10,TO-220-3_L10.0-W4.5-P2.54-L,1,CJ7812,CJ,LCSC,C77894
8,WJ25C-B-4P,P2,WJ25C-B-7.62-4P,1,WJ25C-B-4P,ReliaPro,LCSC,C8424
9,470uF,C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,470uF 100V 16*25,ValuePro,LCSC,C72551
10,10K,"R25,R26",AXIAL-0.4,2,CFR0W4J0103A50,UniOhm,LCSC,C61299
11,WJ25C-B-2P,"P5,P4,P1,P6",CONN-TH_2P-P7.62_WJ25C-B-7.62-2P,4,WJ25C-B-2P,ReliaPro,LCSC,C8422
12,220,"R1,R2,R3,R4,R5,R6,R7,R8",RES-TH_BD2.2-L6.5-P10.50-D0.6,8,CFR0W4J0221A50,UniOhm,LCSC,C61289
13,D50SB100,D9,DIO-BG-TH_DXXSBXX,1,D50SB100,Leshan Radio,LCSC,C411148
14,Arduino_Nano_Header,J1,DIP-30_L43.18-W15.24-ARDUINONANO,1,,,eBay,
