ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,WJ25C-B-7.62-3P-13-00A,CN1,CONN-TH_3P-P7.62_WJ25C-B-7.62-3P,1,WJ25C-B-7.62-3P-13-00A,ReliaPro,LCSC,C61583
2,500,R1,RES-ADJ-TH_3362S,1,3362S-1-501LF,BOURNS,LCSC,C81261
3,2N2222A,Q1,TO-92-3_L4.8-W3.7-P2.54-R,1,2N2222A,Foshan Blue Rocket Elec,LCSC,C358533
4,1.8K,R4,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,RD 1/4W 1K8 J T/B A1,TyoHM,LCSC,C433758
5,PE-51686NL,L1,ZMCT102,1,PE-51686NL,Pulse Electronics,Newwark,64AC9336
6,470nF,C1,CAP-TH_L8.5-W5.0-P5.00-D1.2,1,CT4-0805B474K500F3,FH,LCSC,C93116
7,470,R2,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,-,Chian Chia Elec,LCSC,C120047
8,10K,R3,AXIAL-0.4,1,CFR0W4J0103A50,UniOhm,LCSC,C61299
9,1N4734A_C41430,ZD1,DO-41_BD2.8-L4.2-P8.00-D0.7-FD,1,1N4734A,SEMTECH,LCSC,C41430
10,1N4001_C331627,"D1,D2,D3,D5",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,4,1N4001,GW,LCSC,C331627
