ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,64600001003,FH1,FUSE-2P-25.8X9.0,1,64600001003,Littelfuse,LCSC,C206887
2,1N4001,"D2,D3,D4,D5,D6,D1,D10,D11,D12,D13,D14,D15,D16,D17",DO-41,14,1N4001,DIOFIT,LCSC,C169150
3,WJ25C-B-7.62-3P-13-00A,"CN3,CN4,CN1",WJ25C-B-7.62-3P,3,WJ25C-B-7.62-3P-13-00A,ReliaPro,LCSC,C61583
4,WJ25C-B-7.62-8P-13-00A,CN2,WJ25C-B-7.62-8P,1,WJ25C-B-7.62-8P-13-00A,ReliaPro,LCSC,C49492
5,MAX485DIL,U11,DIP8,1,,,Newark,78Y4941
6,MC7805BTG,U9,TO-220-3_L10.0-W4.5-P2.54-L,1,MC7805BTG,ON,LCSC,C45385
7,ILQ2,"U1,U2,U3,U4",DIP-16_L19.8-W6.5-P2.54-LS7.6-BL,4,ILQ2,VISHAY,LCSC,C145338
8,CJ7812,U10,TO-220-3_L10.0-W4.5-P2.54-L,1,CJ7812,CJ,LCSC,C77894
9,150,"R9,R10,R11,R12,R13,R14,R18,R19,R20,R21,R22,R1,R2",RES-TH_BD2.2-L6.5-P10.50-D0.6,13,CFR0W4J0151A50,UniOhm,LCSC,C70814
10,4.7uF,C1,CAP-TH_BD4.0-P1.50-D0.8-FD,1,4.7uF 50V 4*7,ValuePro,LCSC,C43841
11,10k,"R7,R8,R3,R15",PKG-0.25W RESISTOR,4,RESISTOR_ALONG,MULTICOMP,Element14,9339116
12,470uF,C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,470uF 100V 16*25,ValuePro,LCSC,C72551
13,ILD2,U5,DIP-8_L9.7-W6.4-P2.54-LS7.6-BL,1,ILD2,VISHAY,LCSC,C10612
14,10K,"R25,R26",AXIAL-0.4,2,CFR0W4J0103A50,UniOhm,LCSC,C61299
15,LM556CN,U20,DIP14,1,?,,,
16,WJ25C-B-2P,"P5,P4,P1,P6,P2",CONN-TH_2P-P7.62_WJ25C-B-7.62-2P,5,WJ25C-B-2P,ReliaPro,LCSC,C8422
17,220,"R4,R5,R6",RES-TH_BD2.2-L6.5-P10.50-D0.6,3,CFR0W4J0221A50,UniOhm,LCSC,C61289
18,D50SB100,D9,DIO-BG-TH_DXXSBXX,1,D50SB100,Leshan Radio,LCSC,C411148
19,Arduino_Nano_Header,J1,DIP-30_L43.18-W15.24-ARDUINONANO,1,,,eBay,
