ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,64600001003,FH1,FUSE-2P-25.8X9.0,1,64600001003,Littelfuse,LCSC,C206887
2,WJ25C-B-7.62-8P-13-00A,"CN1,CN3,CN2",WJ25C-B-7.62-8P,3,WJ25C-B-7.62-8P-13-00A,ReliaPro,LCSC,C49492
3,MAX485DIL,U11,DIP8,1,,,Newark,
4,DIODE,"D3,D4,D2,D1,D6,D5,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17",DIODE-1N4001,17,,,Newark,
5,MC7805BTG,U9,TO-220-3_L10.0-W4.5-P2.54-L,1,MC7805BTG,ON,LCSC,C45385
6,Optocoupler_ILQ2 QUAD,"U5,U6",DIP16,2,,Vishay,Newark,61M6753
7,CJ7812,U10,TO-220-3_L10.0-W4.5-P2.54-L,1,CJ7812,CJ,LCSC,C77894
8,4.7uF,"C3,C4,C5,C6",CAP-TH_BD4.0-P1.50-D0.8-FD,4,4.7uF 50V 4*7,ValuePro,LCSC,C43841
9,10k,"R23,R24,R25,R26,R27,R28,R29,R30",PKG-0.25W RESISTOR,8,RESISTOR_ALONG,MULTICOMP,Element14,9339116
10,470uF,C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,470uF 100V 16*25,ValuePro,LCSC,C72551
11,1k,R22,AXIAL-0.3,1,,,Newark,
12,10K,"R31,R32",AXIAL-0.4,2,CFR0W4J0103A50,UniOhm,LCSC,C61299
13,WJ762-7.62-2P-13-00A,P2,WJ762-7.62-2P,1,WJ762-7.62-2P-13-00A,ReliaPro,LCSC,C72333
14,LM556CN,"U1,U2,U3,U4",DIP14,4,,,Newark,
15,WJ25C-B-2P,"P6,P3,P5",CONN-TH_2P-P7.62_WJ25C-B-7.62-2P,3,WJ25C-B-2P,ReliaPro,LCSC,C8422
16,D50SB100,D18,DIO-BG-TH_DXXSBXX,1,D50SB100,Leshan Radio,LCSC,C411148
17,100pF,C1,CAP-HV-5.0*3.0,1,101K/1KV Capacitor,ReliaPro,LCSC,C3715
18,Arduino_Nano_Header,J1,DIP-30_L43.18-W15.24-ARDUINONANO,1,,,eBay,
